№,Страна,Регион,Город,Трасса,Месторасположение,Бренд,Бензин,ДТ,ГАЗ,Мойка,Доп. услуги,Категория
1,РОССИЯ,Алтайский край,,Р-255,222 км Автодороги Бийск-Артыбаш,Салекс,+,+,,,,
2,РОССИЯ,Алтайский край,,А-322,"Алтайский край, село Шипуново по трассе Шипунова- Первомайское)",Лукойл,+,+,,,"AdBlue, Доп. товары",
3,РОССИЯ,Алтайский край,,Р-256,"Алтайский край, Р-256 Чуйский тракт, 179",Лукойл,+,+,,,"AdBlue, Доп. товары",
4,РОССИЯ,Алтайский край,,Р-256,"Алтайский край, Р-256 Чуйский тракт, километр 292-й, 4",Лукойл,+,+,,,Доп. товары,
5,РОССИЯ,Алтайский край,,Р-256,"Алтайский край, Буланихинский сельсовет, Р-256 317 километр, 1",Лукойл,+,+,,,Доп. товары,
6,РОССИЯ,Алтайский край,Акташ,,"Лесная ул., 1, Акташ, Респ. Алтай, Россия, 649743",ОПТИ,+,+,+,,,T
7,РОССИЯ,Алтайский край,Алейск,,трасса Барнаул-Рубцовск,ГАЗОЙЛ,,,+,,,B
8,РОССИЯ,Алтайский край,Алейск,,"Алтайский край, г. Алейск, пер. Ульяновский, д. 108р",Лукойл,+,+,,,"AdBlue, Доп. товары",
9,РОССИЯ,Алтайский край,Алтайский,,"[а/д] Славгород-Кулунда-Златополь, 27 км, Алтайский край, с.Алтайское , ул.Советская, д.256 А",Ника,+,+,,,,B
10,РОССИЯ,Алтайский край,Алтайское,,"Максима Горького ул., 2В, Алтайское (Алтайский), Алтайский край, Россия, 659650",Газпромнефть,+,+,+,,,T
11,РОССИЯ,Алтайский край,артыбаш,,"село Артыбаш, ул. Телецкая, 1",Салекс,+,+,,,,
12,РОССИЯ,Алтайский край,Баево,,"АЗС «Газнефтепродукт» Баевский район, с.Баево, ул.Забайкальская, д.56Б",ГАЗНЕФТЕПРОДУКТ,+,+,,,,B
13,РОССИЯ,Алтайский край,Барнаул,,"Алтайский край, г. Барнаул, пр. Социалистический, д. 5",ОПТИ,+,+,,,,A
14,РОССИЯ,Алтайский край,Барнаул,,"ул. Дзержинского, 43А",ГАЗОЙЛ,+,+,+,,,B
15,РОССИЯ,Алтайский край,Барнаул,,"Змеиногорский тракт, 91в, Барнаул, Алтайский край, Россия, 656049",ОПТИ,+,+,,,,T
16,РОССИЯ,Алтайский край,Барнаул,,"Змеиногорский тракт, 118А, Барнаул, Алтайский край, Россия, 656045",Газпромнефть,+,+,,,,T
17,РОССИЯ,Алтайский край,Барнаул,,"ул. Трактовая, 49, Барнаул, Алтайский край, Россия, 656905",Газпромнефть,+,+,,,,T
18,РОССИЯ,Алтайский край,Барнаул,,"ул. Гоголя, 51",Газпромнефть,+,+,,,,T
19,РОССИЯ,Алтайский край,Барнаул,,"ул. Шевченко, 177Б, Барнаул, Алтайский край, Россия, 656031",Газпромнефть,+,+,,,,T
20,РОССИЯ,Алтайский край,Барнаул,,"Сельскохозяйственная ул., 1А, Барнаул, Алтайский край, Россия, 656064",Газпромнефть,+,+,,,,T
21,РОССИЯ,Алтайский край,Барнаул,,"ул. Малахова, 107Д, Барнаул, Алтайский край, Россия, 656066",Газпромнефть,+,+,,,,T
22,РОССИЯ,Алтайский край,Барнаул,,"Павловский тракт, 331а, Барнаул, Алтайский край, Россия, 656065 (Автоматическая)",Газпромнефть,+,+,,,,T
23,РОССИЯ,Алтайский край,Барнаул,,"ул. Парфенова, 22",Газпромнефть,+,+,,,,T
24,РОССИЯ,Алтайский край,Барнаул,,"пр. Калинина, 37А, Барнаул, Алтайский край, Россия, 656011",Газпромнефть,+,+,,,,T
25,РОССИЯ,Алтайский край,Барнаул,,"ул. 1-я Западная, 57",Газпромнефть,+,+,,,,T
26,РОССИЯ,Алтайский край,Барнаул,,"Павловский тракт, 186, Барнаул, Алтайский край, Россия, 656065",Газпромнефть,+,+,,,,T
27,РОССИЯ,Алтайский край,Барнаул,,"ул. Попова, 5В, Барнаул, Алтайский край, Россия, 656063",Газпромнефть,+,+,,,,T
28,РОССИЯ,Алтайский край,Барнаул,,"ул. Загородная, 119, Барнаул, Алтайский край, Россия, 656008",Газпромнефть,+,+,+,,,T
29,РОССИЯ,Алтайский край,Барнаул,,"ул. Челюскинцев, 117Б",ГАЗОЙЛ,+,+,+,,,B
30,РОССИЯ,Алтайский край,Барнаул,,"Павловский тракт, 249А, Барнаул, Алтайский край, Россия, 656066",Газпромнефть,+,+,,,,T
31,РОССИЯ,Алтайский край,Барнаул,,"ул. Власихинская, 111, Барнаул, Алтайский край, Россия, 656058",Газпромнефть,+,+,,,,T
